Id,MSSubClass,MSZoning,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,SaleCondition,SalePrice
22,45,3,8.915835074176277,3,7,7,77,57,9,0.0,4,4,4,6,0,6,0,637,637,0,7.010311867307229,0,0,0,2,6,1,2,0,77.0,3,1,280,0,0,205,0,0,0,6,2,11.84510277730856
23,20,2,9.184201714366488,3,8,5,6,6,8,281.0,2,4,4,6,0,6,0,1777,1777,0,7.492760300922379,0,0,0,2,7,1,2,0,6.0,2,2,534,171,159,0,0,0,0,9,2,12.345834587905333
24,120,3,8.348537825386098,3,5,7,31,31,2,0.0,2,4,4,2,840,6,0,200,1040,4,6.966024187106112,0,0,1,3,6,1,5,0,31.0,3,2,572,100,110,0,0,0,0,6,2,11.774520202658689
25,20,2,9.017483513266843,0,5,8,42,9,5,0.0,4,4,3,5,188,0,668,204,1060,0,6.966024187106112,0,0,1,2,6,1,5,0,42.0,3,1,270,406,90,0,0,0,0,5,2,11.944707881395766
26,20,2,9.563107691083898,3,8,5,2,2,8,640.0,2,4,4,6,0,6,0,1566,1566,0,7.377758908227872,0,0,0,2,7,1,2,0,2.0,2,3,890,0,56,0,0,0,0,7,2,12.454103912352162
27,20,2,8.881836305004146,3,5,7,59,10,9,0.0,4,4,3,1,234,5,486,180,900,4,6.802394763324312,0,0,0,2,5,0,3,3,5.0,3,2,576,222,32,0,0,0,0,5,2,11.811547477460346
28,20,2,9.348187438668306,3,8,5,3,2,8,200.0,0,4,4,2,1218,6,0,486,1704,0,7.440733707389262,0,0,1,2,7,1,2,0,2.0,2,3,772,0,50,0,0,0,0,5,2,12.631340380934516
29,20,2,9.700207901150694,0,5,6,49,9,4,0.0,4,4,1,1,1277,6,0,207,1484,4,7.377758908227872,0,0,1,3,6,2,2,0,49.0,2,1,319,288,258,0,0,0,0,12,2,12.24288661865289
30,30,3,8.752107198329362,0,4,6,81,58,4,0.0,4,4,4,6,0,6,0,520,520,1,6.253828811575472,0,0,0,1,4,0,3,3,88.0,3,1,240,49,0,87,0,0,0,5,2,11.134589024250317
31,70,4,9.047821442478408,3,4,4,88,58,1,0.0,4,4,4,6,0,6,0,649,649,4,6.4754327167040895,668,0,0,3,6,0,3,3,88.0,3,1,250,0,54,172,0,0,0,7,2,10.596634733096073
32,20,2,9.052984561199976,0,5,6,42,2,3,0.0,4,4,4,6,0,6,0,1228,1228,2,7.1131421087070885,0,0,0,2,6,0,3,0,42.0,3,1,271,0,65,0,0,0,0,6,2,11.914047823644257
33,20,2,9.310095205113177,3,8,5,1,1,8,0.0,0,4,0,6,0,6,0,1234,1234,0,7.1180162044653335,0,0,0,2,7,0,3,0,1.0,2,2,484,0,30,0,0,0,0,1,2,12.100156419938624
34,20,2,9.26407069439715,0,5,5,51,51,1,0.0,4,4,4,5,1018,6,0,380,1398,2,7.438383530044308,0,0,0,2,6,1,2,0,51.0,2,2,447,0,38,0,0,0,0,4,2,12.016726473799254
35,120,2,8.89740886527095,3,9,5,2,2,4,246.0,0,4,4,2,1153,6,0,408,1561,0,7.353081920515432,0,0,1,0,6,1,2,0,2.0,0,2,556,203,47,0,0,0,0,8,2,12.533576212168624
36,60,2,9.50435236812283,3,8,5,2,1,8,132.0,0,4,0,6,0,6,0,1117,1117,0,7.0317412587631285,1320,0,0,2,9,1,2,2,2.0,0,3,691,113,32,0,0,0,0,9,2,12.641096555879884
37,20,2,9.2927495082169,3,5,5,15,14,8,0.0,2,4,4,6,0,6,0,1097,1097,0,7.00033446027523,0,0,0,3,6,0,3,0,14.0,3,2,672,392,64,0,0,0,0,6,2,11.884489021402711
38,20,2,9.05157907959124,3,5,6,55,19,9,650.0,4,4,4,5,1213,6,0,84,1297,2,7.167809184316443,0,0,0,3,5,1,5,0,55.0,0,2,498,0,0,0,0,0,0,10,2,11.938193200374572
39,20,2,8.977398978181863,3,5,7,57,3,8,0.0,4,4,4,2,731,6,0,326,1057,4,6.963189985870238,0,0,1,2,5,0,3,3,57.0,3,1,246,0,52,0,0,0,0,1,0,11.599103161211278
40,90,2,8.706159290928861,3,4,5,53,53,0,0.0,3,2,2,4,0,3,0,0,0,4,7.049254841255838,0,0,0,1,6,0,3,4,2008.0,1,0,0,0,0,0,0,0,0,6,4,11.314474526246393
41,20,2,9.066239028001926,3,6,5,41,41,9,101.0,4,4,4,5,643,6,0,445,1088,0,7.188412736496954,0,0,0,3,6,1,5,0,41.0,2,2,440,0,138,0,0,0,0,12,0,11.982929094215965
42,20,2,9.735364715141987,3,5,6,48,48,8,0.0,4,4,1,1,967,6,0,383,1350,2,7.191429330036379,0,0,0,3,5,2,2,0,48.0,2,1,308,0,104,0,0,0,0,7,2,12.0435537160324
43,85,2,9.124782483614537,0,5,7,24,24,3,0.0,2,4,0,0,747,2,93,0,840,2,6.784457062637642,0,0,1,2,5,0,3,0,24.0,2,2,504,240,0,0,0,0,0,12,2,11.877568578558137
44,20,2,9.126958763037134,0,5,6,33,28,8,0.0,2,4,0,3,280,1,491,167,938,4,6.843749949006225,0,0,1,3,5,0,3,3,31.0,3,1,308,145,0,0,0,0,0,7,2,11.777210959615614
45,20,2,8.980298078970819,3,5,6,47,47,1,0.0,4,4,4,0,179,1,506,465,1150,0,7.047517221357295,0,0,1,3,6,0,3,0,47.0,2,1,300,0,0,0,0,0,0,5,2,11.856515169360303
46,120,2,8.943506132037237,3,9,5,5,5,4,412.0,0,4,4,2,456,6,0,1296,1752,0,7.468513271496338,0,0,1,0,6,1,2,0,5.0,2,2,576,196,82,0,0,0,0,2,2,12.675763725937607
47,50,2,9.458917724547202,0,7,5,6,6,8,0.0,0,4,4,2,1351,6,0,83,1434,0,7.325148957955575,631,0,1,2,6,1,0,0,6.0,2,2,670,168,43,0,0,198,0,8,0,12.3870850123755
48,20,0,9.314339961994667,3,8,5,1,1,8,0.0,2,4,0,2,24,6,0,1632,1656,0,7.412160334945206,0,0,0,2,7,0,3,0,1.0,2,3,826,0,146,0,0,0,0,7,2,12.428015476267865
49,190,3,8.40200678160712,3,4,5,89,1,4,0.0,4,4,4,6,0,6,0,736,736,2,6.601230118728878,716,0,0,3,8,0,3,4,2009.0,1,0,0,0,0,102,0,0,0,6,3,11.635143097694476
50,20,2,8.954415331137591,3,5,7,41,41,3,0.0,4,4,4,1,763,6,0,192,955,0,6.86171134048073,0,0,1,3,6,0,3,0,41.0,3,1,386,0,0,0,0,0,0,1,2,11.751942365440726
51,60,2,9.537411412656336,1,6,6,10,10,8,0.0,2,4,0,2,182,6,0,612,794,2,6.677083461247137,676,0,0,3,6,0,3,0,10.0,0,2,388,0,75,0,0,0,0,7,2,12.083905011555967
52,50,3,8.738735461363474,3,6,6,72,56,9,0.0,4,4,4,6,0,6,0,816,816,4,6.704414354964107,0,360,0,3,6,1,2,3,21.0,3,2,528,112,0,0,0,0,0,9,2,11.648330101976432
53,90,3,9.044521887281242,1,5,5,47,47,9,0.0,2,4,1,3,104,4,712,0,816,4,6.704414354964107,0,0,1,3,5,0,3,5,47.0,3,2,516,106,0,0,0,0,0,5,2,11.608235644774554
54,20,2,10.825183649068832,0,9,5,25,19,10,0.0,0,4,1,2,1810,6,0,32,1842,2,7.518607216815253,0,0,2,2,5,1,2,0,25.0,0,3,894,857,72,0,0,0,0,11,2,12.86099861326992
55,80,2,8.872627365918836,3,5,5,52,52,4,0.0,4,4,4,0,384,6,0,0,384,4,7.215239978730098,0,0,0,3,6,1,5,3,45.0,3,2,572,0,50,0,0,0,0,2,2,11.77528972943772
56,20,2,9.227689010310797,0,6,5,44,44,3,272.0,4,4,4,1,490,6,0,935,1425,2,7.261927092702751,0,0,0,3,7,1,2,0,44.0,2,2,576,0,0,0,407,0,0,7,2,12.103486056755074
57,160,0,7.8804263442924,3,8,5,10,9,4,456.0,2,4,4,2,649,6,0,321,970,0,6.890609120147166,756,0,1,2,7,0,3,0,10.0,0,2,480,115,0,0,0,0,0,8,0,12.058152515453553
58,60,2,9.362632182318439,0,7,5,2,2,8,0.0,2,4,4,6,0,6,0,860,860,0,6.756932389247552,860,0,0,2,7,0,3,0,2.0,2,2,565,0,70,0,0,0,0,8,2,12.188417710291452
59,60,2,9.523836379320944,1,10,5,0,0,8,1031.0,0,4,1,6,0,6,0,1410,1410,0,7.262628600974241,1519,0,0,2,10,1,2,2,0.0,0,3,641,192,0,37,0,0,0,10,3,12.991753427493052
60,20,2,8.881836305004146,3,5,7,36,36,3,0.0,4,4,0,0,632,6,0,148,780,0,6.659293919683638,0,0,0,3,4,0,3,3,35.0,3,1,352,196,0,0,0,0,0,1,2,11.73526869611367
61,20,2,9.478227817099784,3,6,5,2,2,8,0.0,2,4,4,0,941,6,0,217,1158,0,7.05444965813294,0,0,1,2,5,0,3,3,0.0,3,2,576,0,50,0,0,0,0,5,3,11.970350312009106
62,75,3,8.881836305004146,3,5,7,87,11,4,0.0,4,0,4,6,0,6,0,530,530,4,6.364750756851912,530,0,0,1,6,0,3,3,72.0,3,1,288,0,0,144,0,0,0,3,2,11.522875795823396
63,120,2,8.770594329891145,0,8,5,1,1,8,178.0,2,1,3,2,24,6,0,1346,1370,0,7.22256601882217,0,0,0,2,6,1,2,0,1.0,2,2,484,120,49,0,0,0,0,10,2,12.218495165528731
64,70,3,9.239899174217726,0,7,6,89,60,7,0.0,4,4,4,6,0,6,0,576,576,2,6.804614520062624,808,0,0,3,9,0,3,3,20.0,3,2,480,12,11,64,0,0,0,4,2,11.849397701591439
65,60,2,9.14580185083861,3,7,5,12,11,8,573.0,2,4,4,2,739,6,0,318,1057,0,6.963189985870238,977,0,1,2,8,0,3,0,11.0,2,2,645,576,36,0,0,0,0,2,2,12.299107511497365
66,60,2,9.16858043772795,3,8,5,3,2,8,344.0,0,4,0,6,0,6,0,1143,1143,0,7.041411663794809,1330,0,0,2,9,1,2,2,3.0,2,3,852,192,151,0,0,0,0,10,2,12.666657052859414
67,20,2,9.898475010712584,3,7,5,40,21,5,287.0,2,4,1,2,912,6,0,1035,1947,4,7.699389406256738,0,0,1,3,7,1,2,0,40.0,2,2,576,301,0,0,0,0,0,7,2,12.100712129872349
68,20,2,9.274722630905453,0,7,5,4,4,8,167.0,2,4,0,2,1013,6,0,440,1453,0,7.2991214627108,0,0,1,2,7,0,3,0,4.0,2,2,558,144,29,0,0,0,0,6,2,12.328290278254425
69,30,3,8.435549202375729,3,4,6,65,60,4,0.0,4,4,4,6,0,6,0,747,747,4,6.616065185132817,0,0,0,3,4,0,3,0,65.0,3,1,220,0,0,0,0,0,0,6,2,11.289781913656018
70,50,2,9.654577374584887,3,7,4,53,53,1,0.0,4,4,4,1,603,6,0,701,1304,4,7.173191742486599,983,0,0,3,7,1,5,0,53.0,0,2,667,0,21,114,0,0,0,7,2,12.323855681186556
71,20,2,9.521568058002977,0,7,6,34,34,5,1115.0,2,4,1,0,1880,6,0,343,2223,0,7.7066129139641975,0,0,1,3,8,2,2,0,34.0,0,2,516,300,0,0,0,0,0,2,2,12.404923504275338
72,20,2,8.935771938669783,3,4,6,25,1,3,0.0,4,4,4,0,565,6,0,280,845,4,6.739336627357174,0,0,1,3,4,0,3,3,20.0,3,2,360,0,0,0,0,0,0,6,2,11.771436160121727
73,60,2,9.224341891611996,0,7,5,11,11,8,40.0,2,4,4,6,0,6,0,832,832,2,6.785587645007928,833,0,0,3,7,1,5,0,11.0,0,2,427,0,94,0,0,291,0,12,2,12.128111104060464
74,20,2,9.230142999272363,3,5,7,56,7,9,104.0,4,4,4,0,320,1,362,404,1086,2,6.990256500493881,0,0,1,3,6,0,3,0,21.0,3,2,490,0,0,0,0,0,0,5,2,11.883799128308773
75,50,3,8.663887570567043,3,3,6,95,60,8,0.0,1,4,4,6,0,6,0,840,840,2,6.733401891837358,765,0,0,3,8,0,3,3,95.0,3,1,379,0,0,202,0,0,0,5,2,11.5843154610569
76,180,3,7.375255778009754,3,4,5,36,36,2,0.0,2,4,1,2,462,6,0,0,462,4,6.26530121273771,462,0,1,3,5,0,3,2,36.0,3,1,297,120,101,0,0,0,0,11,2,11.418614785498988
77,20,2,9.044875932248653,0,4,7,52,52,8,0.0,4,4,4,0,228,6,0,724,952,0,6.858565034791365,0,0,0,3,4,0,3,3,52.0,3,1,283,0,0,0,0,0,0,4,2,11.818570237796182
78,50,3,9.06357899058078,3,5,5,60,7,9,0.0,4,4,4,1,336,4,41,295,672,4,6.977281341630747,213,0,1,3,6,0,3,3,60.0,3,1,240,0,0,0,0,0,0,1,2,11.751942365440726
79,90,2,9.285262298493445,3,4,5,42,42,3,0.0,4,4,4,6,0,6,0,1768,1768,4,7.477604243197589,0,0,0,3,8,0,3,4,2010.0,1,0,0,0,0,0,0,0,0,4,2,11.824079893607152
80,50,3,9.25339986143663,3,5,6,99,28,9,0.0,4,4,4,6,0,6,0,440,440,2,6.525029657843463,548,0,0,3,5,0,3,3,43.0,3,2,440,74,0,128,0,0,0,5,2,11.608235644774554
81,60,2,9.472704636443671,3,6,6,41,41,8,576.0,2,4,4,5,448,6,0,448,896,4,7.074963197966044,960,0,0,2,8,1,2,0,41.0,0,1,509,0,72,0,0,252,0,6,2,12.173032791451972
82,120,3,8.411832675758411,3,6,5,8,8,8,443.0,0,1,4,2,1201,6,0,36,1237,0,7.1981835771019425,0,0,1,3,5,0,3,0,8.0,0,2,405,0,199,0,0,0,0,3,2,11.941455846009385
83,20,2,9.230731061623915,3,8,5,1,1,8,468.0,2,4,4,2,33,6,0,1530,1563,0,7.354362330421478,0,0,0,2,6,1,2,0,1.0,2,3,758,144,99,0,0,0,0,10,2,12.409013489526865
84,20,2,9.092907275084087,0,5,5,47,47,4,66.0,4,4,4,6,0,6,0,1065,1065,2,6.970730078143525,0,0,0,3,6,0,3,3,33.0,3,2,461,74,0,0,0,0,0,7,2,11.747997587149714
85,80,2,9.051344640485723,0,7,5,14,13,3,22.0,2,4,4,6,0,6,0,384,384,2,6.689599269178967,670,0,0,3,7,1,5,2,14.0,0,2,400,120,72,0,0,0,0,5,2,12.034691028774553
86,60,2,9.68402471906149,3,8,5,15,14,3,284.0,2,4,4,6,0,6,0,1288,1288,0,7.170888478512505,1116,0,0,2,9,1,5,0,15.0,3,2,462,127,82,0,0,0,0,4,2,12.468436909997664
87,60,2,9.385217621880901,1,6,5,4,4,8,0.0,2,4,0,6,0,6,0,684,684,0,6.527957917622549,876,0,0,2,6,1,2,2,4.0,0,2,400,100,38,0,0,0,0,3,2,12.066810578196664
88,160,0,8.281723990411393,3,6,5,0,0,8,76.0,2,4,0,6,0,6,0,612,612,0,6.416732282512326,612,0,0,2,4,0,3,3,0.0,2,2,528,0,234,0,0,0,0,6,3,12.010665849187564
89,50,4,9.0442857876461,0,3,2,94,27,5,0.0,4,0,4,6,0,6,0,1013,1013,4,6.920671504248682,0,513,0,1,6,0,3,4,2009.0,1,0,0,0,0,156,0,0,0,10,0,11.350406535472453
90,20,2,8.995908761263994,3,4,5,13,12,8,0.0,2,4,4,2,588,6,0,402,990,0,6.8977049431286375,0,0,1,3,5,0,3,4,2007.0,1,0,0,0,0,0,0,0,0,8,2,11.724805824005726
91,20,2,8.881836305004146,3,4,5,56,56,1,0.0,3,2,2,4,0,3,0,0,0,4,6.9469759921354175,0,0,0,3,4,0,3,3,56.0,3,2,420,0,29,0,0,0,0,7,2,11.607326140391713
92,20,2,9.047821442478408,3,5,3,45,45,3,203.0,4,4,4,5,600,6,0,635,1235,4,7.118826249062077,0,0,0,3,6,0,3,0,45.0,3,2,480,0,0,0,0,0,0,12,0,11.498826540590727
93,30,2,9.500020447090636,0,5,7,88,3,9,0.0,2,4,4,0,713,6,0,163,876,0,6.871091294610546,0,0,1,3,5,0,3,3,88.0,3,2,432,0,0,44,0,0,0,8,2,12.004568269319446
94,190,4,8.881836305004146,3,6,6,97,9,4,0.0,4,0,3,5,1046,6,0,168,1214,0,7.138866999945524,1031,0,0,3,9,1,2,3,107.0,3,2,506,0,0,0,0,99,0,11,2,11.804848531679266
95,60,2,9.141740280483925,0,6,5,10,10,8,0.0,2,4,4,2,648,6,0,176,824,0,6.807934943699927,881,0,1,2,7,0,3,0,10.0,2,2,684,0,162,0,0,0,0,5,2,12.229545001715314
96,60,2,9.186559843310777,1,6,8,16,16,8,68.0,2,1,4,0,310,6,0,370,680,2,6.522092798170153,790,0,0,3,6,1,5,2,16.0,0,2,420,232,63,0,0,0,0,4,2,12.128111104060464
97,20,2,9.236397906295473,0,7,5,7,7,8,183.0,2,4,0,0,1162,6,0,426,1588,0,7.370230641807081,0,0,0,2,6,0,3,0,7.0,2,2,472,158,29,0,0,0,0,8,2,12.273731294003987
98,20,2,9.298442820197726,3,4,5,42,42,3,48.0,4,4,4,5,520,6,0,440,960,4,6.866933284461883,0,0,1,3,6,0,3,0,42.0,0,1,432,120,0,0,0,0,0,5,2,11.458997122944671
99,30,2,9.270964993792617,3,5,5,90,60,9,0.0,4,4,4,0,108,6,0,350,458,1,6.727431724850855,0,0,0,3,5,0,3,1,90.0,3,1,366,0,0,77,0,0,0,5,0,11.326595886778733
100,20,2,9.139917907679637,0,4,5,51,51,5,0.0,4,4,4,0,569,6,0,381,950,1,7.110696122978827,0,0,1,3,6,0,3,4,2010.0,1,0,0,352,0,0,0,0,0,1,2,11.76718001130949
101,20,2,9.268892258925797,0,6,7,33,9,5,28.0,4,4,3,0,1200,6,0,410,1610,2,7.383989457978508,0,0,1,2,6,2,5,0,33.0,2,2,480,168,68,0,0,0,0,2,2,12.230765258120543
102,60,2,9.127610724377185,3,6,5,25,25,3,336.0,2,4,4,6,0,6,0,741,741,4,6.884486652042782,755,0,0,2,7,1,5,0,25.0,0,2,476,192,46,0,0,0,0,6,2,12.089538829274224
103,90,2,8.85623355614316,3,5,5,30,30,3,0.0,3,2,2,4,0,3,0,0,0,4,7.336285660021298,0,0,0,3,8,0,3,0,30.0,3,2,410,0,0,0,0,0,0,6,4,11.686576205316554
104,20,2,9.249753374333018,0,7,5,1,1,8,0.0,2,4,4,6,0,6,0,1226,1226,0,7.111512116496158,0,0,0,2,6,0,3,0,1.0,2,3,740,0,36,0,0,0,0,5,2,12.200557464842065
105,50,3,8.956479847999912,3,7,4,76,57,7,600.0,4,4,4,3,224,6,0,816,1040,0,7.111512116496158,592,0,0,3,7,2,5,3,56.0,3,1,240,0,0,0,0,184,0,6,2,12.040608205802641
106,60,0,9.14580185083861,3,8,5,5,4,8,768.0,0,4,4,6,0,6,0,1053,1053,0,6.959398512133975,939,0,0,2,9,1,2,0,5.0,2,2,648,140,45,0,0,0,0,8,2,12.429216196844385
107,30,3,9.287301413112312,3,4,7,122,12,8,0.0,1,4,4,6,0,6,0,641,641,2,6.953684210870537,0,0,0,3,6,0,3,3,53.0,3,1,273,0,0,0,0,0,0,8,2,11.512925464970227
108,20,3,8.699514748210191,3,5,5,60,58,8,0.0,4,4,4,0,104,1,169,516,789,0,6.670766320845875,0,0,0,3,5,0,3,3,60.0,3,1,250,0,0,0,0,0,0,4,3,11.652687407345386
109,50,3,9.047821442478408,3,5,7,88,2,2,0.0,4,4,4,6,0,6,0,793,793,4,6.904750769961837,520,0,0,1,7,0,3,4,2007.0,1,0,0,0,0,144,0,0,0,8,2,11.652687407345386
110,20,2,9.37169362233394,0,6,6,33,33,5,480.0,2,4,4,1,705,6,0,1139,1844,0,7.5196924041165385,0,0,0,3,7,1,5,0,33.0,2,2,546,0,122,0,0,0,0,1,2,12.154779351142626
111,50,2,9.1616751999949,3,6,4,52,34,9,0.0,4,0,4,5,444,6,0,550,994,2,7.103322062526113,639,0,0,3,7,0,3,0,52.0,3,1,325,182,0,0,0,0,0,10,2,11.827006011276538
112,80,2,8.955448122347393,0,7,5,10,10,8,0.0,2,4,4,2,250,6,0,134,384,0,6.651571873589728,656,0,0,3,7,1,5,2,10.0,0,2,400,180,0,0,0,0,0,4,2,12.100712129872349
113,60,2,9.206834232646894,3,7,5,0,0,8,220.0,0,4,0,2,984,6,0,280,1264,0,7.156176637480615,1414,0,1,0,10,1,2,2,0.0,0,3,792,120,184,0,0,168,0,10,3,12.858319703517948
114,20,2,9.952277716705561,3,6,5,54,54,9,184.0,2,4,3,0,35,5,869,905,1809,4,7.7226775164680035,0,0,1,2,7,2,2,1,54.0,3,2,450,166,120,192,0,0,0,10,0,12.287652632522596
115,70,2,8.889997357284841,0,6,8,62,5,9,0.0,4,4,4,0,774,2,150,104,1028,0,7.2696167496081685,884,0,1,2,9,1,5,3,62.0,3,1,180,224,0,0,0,0,0,7,2,12.46651198158808
116,160,0,8.080237416216702,3,6,5,8,8,4,1129.0,2,4,4,2,419,6,0,310,729,2,6.591673732008657,729,0,0,3,5,1,1,3,8.0,3,2,440,0,32,0,0,0,0,6,2,12.078239274020287
117,20,2,9.360138737064576,3,5,5,47,47,9,116.0,4,4,4,3,170,1,670,252,1092,4,6.9957661563048505,0,0,0,3,6,1,4,0,47.0,3,1,288,0,20,144,0,0,0,9,2,11.842229212112827
118,20,2,9.05204779298159,3,5,5,1,0,8,0.0,2,4,4,6,0,6,0,1125,1125,2,7.0255383146385215,0,0,0,3,5,0,3,0,0.0,3,2,430,80,64,0,0,0,0,4,3,11.951180395901384
119,60,2,9.423514392252901,3,7,5,20,20,5,0.0,2,4,3,2,1470,6,0,203,1673,2,7.4377951216719325,1523,0,1,2,11,2,5,0,20.0,3,3,594,367,0,0,0,0,0,5,2,12.676076274775909
120,60,2,9.0432226489245,3,6,5,1,0,8,0.0,2,4,4,6,0,6,0,728,728,0,6.590301048196687,728,0,0,2,8,1,2,0,1.0,0,2,390,0,24,0,0,0,0,7,3,12.007560729337492
121,80,2,9.973619774716504,0,6,5,37,37,5,0.0,4,4,1,0,938,6,0,0,938,0,6.895682697747867,0,0,1,3,4,2,5,0,37.0,3,2,540,0,130,0,130,0,0,10,2,12.100712129872349
122,50,3,8.70946507906336,3,4,5,68,57,0,0.0,4,4,4,6,0,6,0,732,732,2,6.648984550024776,351,0,0,3,4,0,3,3,28.0,3,1,264,0,0,140,0,0,0,6,2,11.512925464970227
